windows,block_days,effective_blocks,mean_difference_dlpm_minus_bootstrap,ci95_low,ci95_high,p_value_two_sided,dimension,group,p_value_holm_state_slices
2274,20,24,-0.00032473934846428824,-0.001914948686823717,0.0016683090879950086,0.698,trend_state,high,1.0
2274,60,9,-0.00032473934846428824,-0.001743768860774397,0.0019913054540818234,0.7255,trend_state,high,1.0
2270,20,24,-0.000980678990641364,-0.0032281195147426476,0.0011020404649480287,0.375,trend_state,low,1.0
2270,60,9,-0.000980678990641364,-0.0024181166037566,0.0011328282662072709,0.281,trend_state,low,1.0
2280,20,27,0.0010004832593463724,-0.001962311144758735,0.004123015352908708,0.514,trend_state,middle,1.0
2280,60,9,0.0010004832593463724,-0.0025963549107747624,0.005838643529850163,0.644,trend_state,middle,1.0
2276,20,26,-0.0014920939527319562,-0.00382077470113735,0.000694484924124425,0.2025,drawdown_state,deep,1.0
2276,60,9,-0.0014920939527319562,-0.0032062576224535437,0.0010125414704724501,0.174,drawdown_state,deep,1.0
2274,20,26,-0.0002574580790883699,-0.0021191484855793774,0.0016337451746997386,0.7975,drawdown_state,middle,1.0
2274,60,9,-0.0002574580790883699,-0.002749528866725737,0.002133876583821822,0.8265,drawdown_state,middle,1.0
2274,20,26,0.0014502940863724391,-0.0008792285581750398,0.0034330067525988202,0.188,drawdown_state,shallow,1.0
2274,60,9,0.0014502940863724391,-0.001120395480044469,0.003466408738660579,0.2155,drawdown_state,shallow,1.0
827,20,27,0.002637825170283584,-0.0031170013635379184,0.008301506391864203,0.3865,index,CSI1000,
827,60,9,0.002637825170283584,-0.005130014276693052,0.010573168801085983,0.5295,index,CSI1000,
827,20,27,0.0010296965097142132,-0.0018884489823629575,0.0037435891669435244,0.477,index,CSI300,
827,60,9,0.0010296965097142132,-0.0029489945171002102,0.004364629941722686,0.598,index,CSI300,
827,20,27,0.002694513926709459,-0.0017499898122791911,0.007806762845579903,0.277,index,CSI500,
827,60,9,0.002694513926709459,-0.0025967246573569223,0.008809780174883005,0.372,index,CSI500,
879,20,26,-0.0025133044280033876,-0.0033578389951416953,-0.0015797052687951674,0.0,index,Dow_Jones,
879,60,9,-0.0025133044280033876,-0.0031949758288004654,-0.0018575129936420326,0.0,index,Dow_Jones,
879,20,26,0.001213096086709626,-0.0016750394599822503,0.004665916267284547,0.4635,index,NASDAQ,
879,60,9,0.001213096086709626,-0.0014587400558498166,0.0037451803268340406,0.3725,index,NASDAQ,
879,20,26,-0.0016919059712188589,-0.0040778729361308505,0.001074205470927942,0.1885,index,Russell_2000,
879,60,9,-0.0016919059712188589,-0.005383489329347442,0.002760760810418233,0.404,index,Russell_2000,
879,20,26,-0.00031139192169200413,-0.0022193444361412185,0.00193387187013428,0.7955,index,SP500,
879,60,9,-0.00031139192169200413,-0.002743695305739978,0.0024609331931855784,0.8245,index,SP500,
827,20,27,-0.003677289265701325,-0.005626994993373498,-0.0018497253479254204,0.0,index,SSE_Composite,
827,60,9,-0.003677289265701325,-0.00562026538584198,-0.0017272517119714663,0.0,index,SSE_Composite,
2796,20,27,0.0008410409256314945,-0.0005114431187775036,0.00210452599588969,0.196,tenor,30,
2796,60,9,0.0008410409256314945,-0.0006230843001311675,0.0021630931058385016,0.235,tenor,30,
2316,20,22,0.001900404819941472,-0.0011957854796827766,0.005200825993595283,0.2625,tenor,90,
2316,60,8,0.001900404819941472,-0.00262933655788999,0.007297090851570395,0.4445,tenor,90,
1596,20,15,-0.004533313964521781,-0.01129130532230101,0.0023897105099931863,0.192,tenor,180,
1596,60,5,-0.004533313964521781,-0.012949004800440174,0.004284760075095222,0.3465,tenor,180,
116,20,2,-0.0017346177545457318,-0.0027010668083520544,0.000802311011695863,0.2455,tenor,365,
116,60,1,-0.0017346177545457318,-0.0017346177545457318,-0.0017346177545457318,0.0,tenor,365,
3308,20,27,0.000671186585251483,-0.002458697818428536,0.003998843095621673,0.6775,country,China,
3308,60,9,0.000671186585251483,-0.0031430798937429646,0.004902540571162244,0.74,country,China,
3516,20,26,-0.0008258765585511559,-0.0019349837163833486,0.00041452375947268914,0.1685,country,USA,
3516,60,9,-0.0008258765585511559,-0.0013163181435457375,-0.00024082301715747792,0.0035,country,USA,
